ts,lane,path,level,step,idx,totalInSession,sinceBlockSec,targetRate,predictedTrip,status,class,ms,bytes,retryAfter,blocked,err
2026-08-01T02:11:41.013Z,reload_hammer,/faq,без пауз,,49,49,,,,200,ok,266,,,False,
2026-08-01T02:11:41.279Z,reload_hammer,/faq,без пауз,,50,50,,,,429,rate_limited,178,,,True,
2026-08-01T02:12:26.273Z,recovery,/faq,,,1,,0,,,200,ok,371,33105,,,
2026-08-01T02:13:19.237Z,rate_ladder,/faq,,≈1 запрос/с,1,,,,,200,ok,396,33105,,,
2026-08-01T02:13:20.336Z,rate_ladder,/faq,,≈1 запрос/с,2,,,,,200,ok,166,33105,,,
2026-08-01T02:13:21.203Z,rate_ladder,/faq,,≈1 запрос/с,3,,,,,200,ok,163,33105,,,
2026-08-01T02:13:22.070Z,rate_ladder,/faq,,≈1 запрос/с,4,,,,,200,ok,167,33105,,,
2026-08-01T02:13:22.939Z,rate_ladder,/faq,,≈1 запрос/с,5,,,,,200,ok,164,33105,,,
2026-08-01T02:13:23.805Z,rate_ladder,/faq,,≈1 запрос/с,6,,,,,200,ok,172,33105,,,
2026-08-01T02:13:24.678Z,rate_ladder,/faq,,≈1 запрос/с,7,,,,,200,ok,173,33105,,,
2026-08-01T02:13:25.554Z,rate_ladder,/faq,,≈1 запрос/с,8,,,,,200,ok,177,33105,,,
2026-08-01T02:13:26.433Z,rate_ladder,/faq,,≈1 запрос/с,9,,,,,200,ok,164,33105,,,
2026-08-01T02:13:27.298Z,rate_ladder,/faq,,≈1 запрос/с,10,,,,,200,ok,164,33105,,,
2026-08-01T02:13:28.164Z,rate_ladder,/faq,,≈1 запрос/с,11,,,,,200,ok,162,33105,,,
2026-08-01T02:13:29.027Z,rate_ladder,/faq,,≈1 запрос/с,12,,,,,200,ok,176,33105,,,
2026-08-01T02:13:29.905Z,rate_ladder,/faq,,≈1 запрос/с,13,,,,,200,ok,172,33105,,,
2026-08-01T02:13:30.778Z,rate_ladder,/faq,,≈1 запрос/с,14,,,,,200,ok,294,33105,,,
2026-08-01T02:13:31.774Z,rate_ladder,/faq,,≈1 запрос/с,15,,,,,200,ok,165,33105,,,
2026-08-01T02:13:32.640Z,rate_ladder,/faq,,≈1 запрос/с,16,,,,,200,ok,175,33105,,,
2026-08-01T02:13:33.516Z,rate_ladder,/faq,,≈1 запрос/с,17,,,,,200,ok,163,33105,,,
2026-08-01T02:13:34.381Z,rate_ladder,/faq,,≈1 запрос/с,18,,,,,200,ok,160,33105,,,
2026-08-01T02:13:35.242Z,rate_ladder,/faq,,≈1 запрос/с,19,,,,,200,ok,163,33105,,,
2026-08-01T02:13:36.106Z,rate_ladder,/faq,,≈1 запрос/с,20,,,,,200,ok,165,33105,,,
2026-08-01T02:13:36.974Z,rate_ladder,/faq,,≈1 запрос/с,21,,,,,200,ok,166,33105,,,
2026-08-01T02:13:37.841Z,rate_ladder,/faq,,≈1 запрос/с,22,,,,,200,ok,176,33105,,,
2026-08-01T02:13:38.719Z,rate_ladder,/faq,,≈1 запрос/с,23,,,,,200,ok,165,33105,,,
2026-08-01T02:13:39.585Z,rate_ladder,/faq,,≈1 запрос/с,24,,,,,200,ok,161,33105,,,
2026-08-01T02:13:40.448Z,rate_ladder,/faq,,≈1 запрос/с,25,,,,,200,ok,161,33105,,,
2026-08-01T02:13:41.311Z,rate_ladder,/faq,,≈1 запрос/с,26,,,,,200,ok,171,33105,,,
2026-08-01T02:13:42.183Z,rate_ladder,/faq,,≈1 запрос/с,27,,,,,200,ok,176,33105,,,
2026-08-01T02:13:43.061Z,rate_ladder,/faq,,≈1 запрос/с,28,,,,,200,ok,166,33105,,,
2026-08-01T02:13:43.929Z,rate_ladder,/faq,,≈1 запрос/с,29,,,,,200,ok,162,33105,,,
2026-08-01T02:13:44.793Z,rate_ladder,/faq,,≈1 запрос/с,30,,,,,200,ok,160,33105,,,
2026-08-01T02:13:45.655Z,rate_ladder,/faq,,≈1 запрос/с,31,,,,,200,ok,164,33105,,,
2026-08-01T02:13:46.521Z,rate_ladder,/faq,,≈1 запрос/с,32,,,,,200,ok,165,33105,,,
2026-08-01T02:13:47.387Z,rate_ladder,/faq,,≈1 запрос/с,33,,,,,200,ok,169,33105,,,
2026-08-01T02:13:48.256Z,rate_ladder,/faq,,≈1 запрос/с,34,,,,,200,ok,173,33105,,,
2026-08-01T02:13:49.130Z,rate_ladder,/faq,,≈1 запрос/с,35,,,,,200,ok,175,33105,,,
2026-08-01T02:13:50.006Z,rate_ladder,/faq,,≈1 запрос/с,36,,,,,200,ok,170,33105,,,
2026-08-01T02:13:50.877Z,rate_ladder,/faq,,≈1 запрос/с,37,,,,,200,ok,270,33105,,,
2026-08-01T02:13:51.850Z,rate_ladder,/faq,,≈1 запрос/с,38,,,,,200,ok,163,33105,,,
2026-08-01T02:13:52.714Z,rate_ladder,/faq,,≈1 запрос/с,39,,,,,200,ok,167,33105,,,
2026-08-01T02:13:53.583Z,rate_ladder,/faq,,≈1 запрос/с,40,,,,,200,ok,197,33105,,,
2026-08-01T02:13:54.482Z,rate_ladder,/faq,,≈1 запрос/с,41,,,,,200,ok,163,33105,,,
2026-08-01T02:13:55.347Z,rate_ladder,/faq,,≈1 запрос/с,42,,,,,200,ok,170,33105,,,
2026-08-01T02:13:56.220Z,rate_ladder,/faq,,≈1 запрос/с,43,,,,,200,ok,176,33105,,,
2026-08-01T02:13:57.097Z,rate_ladder,/faq,,≈1 запрос/с,44,,,,,200,ok,164,33105,,,
2026-08-01T02:13:57.964Z,rate_ladder,/faq,,≈1 запрос/с,45,,,,,200,ok,166,33105,,,
2026-08-01T02:13:58.832Z,rate_ladder,/faq,,≈1 запрос/с,46,,,,,200,ok,168,33105,,,
2026-08-01T02:13:59.701Z,rate_ladder,/faq,,≈1 запрос/с,47,,,,,200,ok,169,33105,,,
2026-08-01T02:14:00.572Z,rate_ladder,/faq,,≈1 запрос/с,48,,,,,200,ok,166,33105,,,
2026-08-01T02:14:01.440Z,rate_ladder,/faq,,≈1 запрос/с,49,,,,,200,ok,167,33105,,,
2026-08-01T02:14:02.309Z,rate_ladder,/faq,,≈1 запрос/с,50,,,,,200,ok,169,33105,,,
2026-08-01T02:14:03.179Z,rate_ladder,/faq,,≈1 запрос/с,51,,,,,200,ok,215,33105,,,
2026-08-01T02:14:04.097Z,rate_ladder,/faq,,≈1 запрос/с,52,,,,,200,ok,224,33105,,,
2026-08-01T02:14:05.022Z,rate_ladder,/faq,,≈1 запрос/с,53,,,,,200,ok,217,33105,,,
2026-08-01T02:14:05.941Z,rate_ladder,/faq,,≈1 запрос/с,54,,,,,200,ok,214,33105,,,
2026-08-01T02:14:06.854Z,rate_ladder,/faq,,≈1 запрос/с,55,,,,,200,ok,223,33105,,,
2026-08-01T02:14:07.777Z,rate_ladder,/faq,,≈1 запрос/с,56,,,,,200,ok,216,33105,,,
2026-08-01T02:14:08.694Z,rate_ladder,/faq,,≈1 запрос/с,57,,,,,200,ok,223,33105,,,
2026-08-01T02:14:09.617Z,rate_ladder,/faq,,≈1 запрос/с,58,,,,,200,ok,167,33105,,,
2026-08-01T02:14:10.484Z,rate_ladder,/faq,,≈1 запрос/с,59,,,,,200,ok,166,33105,,,
2026-08-01T02:14:11.350Z,rate_ladder,/faq,,≈1 запрос/с,60,,,,,200,ok,164,33105,,,
2026-08-01T02:14:57.190Z,rate_ladder,/faq,,≈2 запроса/с,1,,,,,200,ok,252,33105,,,
2026-08-01T02:14:57.645Z,rate_ladder,/faq,,≈2 запроса/с,2,,,,,200,ok,179,33105,,,
2026-08-01T02:14:58.026Z,rate_ladder,/faq,,≈2 запроса/с,3,,,,,200,ok,209,33105,,,
2026-08-01T02:14:58.435Z,rate_ladder,/faq,,≈2 запроса/с,4,,,,,200,ok,251,33105,,,
2026-08-01T02:14:58.888Z,rate_ladder,/faq,,≈2 запроса/с,5,,,,,200,ok,254,33105,,,
2026-08-01T02:14:59.343Z,rate_ladder,/faq,,≈2 запроса/с,6,,,,,200,ok,260,33105,,,
2026-08-01T02:14:59.806Z,rate_ladder,/faq,,≈2 запроса/с,7,,,,,200,ok,253,33105,,,
2026-08-01T02:15:00.260Z,rate_ladder,/faq,,≈2 запроса/с,8,,,,,200,ok,222,33105,,,
2026-08-01T02:15:00.682Z,rate_ladder,/faq,,≈2 запроса/с,9,,,,,200,ok,176,33105,,,
2026-08-01T02:15:01.060Z,rate_ladder,/faq,,≈2 запроса/с,10,,,,,200,ok,274,33105,,,
2026-08-01T02:15:01.539Z,rate_ladder,/faq,,≈2 запроса/с,11,,,,,200,ok,248,33105,,,
2026-08-01T02:15:01.989Z,rate_ladder,/faq,,≈2 запроса/с,12,,,,,200,ok,263,33105,,,
2026-08-01T02:15:02.453Z,rate_ladder,/faq,,≈2 запроса/с,13,,,,,200,ok,247,33105,,,
2026-08-01T02:15:02.903Z,rate_ladder,/faq,,≈2 запроса/с,14,,,,,200,ok,221,33105,,,
2026-08-01T02:15:03.325Z,rate_ladder,/faq,,≈2 запроса/с,15,,,,,200,ok,175,33105,,,
