ts,lane,transport,nav,page,path,cat,robots,authUsed,headless,method,status,class,ms,ttfb,domMs,bytes,subFailed,httpErrors,consoleErrors,retryAfter,redirect,note,err
2026-07-30T20:05:05.007Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,466,,,33105,,,,,,,
2026-07-30T20:05:05.595Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,487,,,33105,,,,,,,
2026-07-30T20:05:06.204Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,444,,,33105,,,,,,,
2026-07-30T20:05:06.770Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,575,,,33105,,,,,,,
2026-07-30T20:05:07.467Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,463,,,33105,,,,,,,
2026-07-30T20:05:08.052Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,454,,,33105,,,,,,,
2026-07-30T20:05:08.629Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,460,,,33105,,,,,,,
2026-07-30T20:05:28.213Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,446,,,33105,,,,,,,
2026-07-30T20:05:28.214Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,1395,,,33105,,,,,,,
2026-07-30T20:05:28.217Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,1546,,,33105,,,,,,,
2026-07-30T20:05:28.216Z,ratelimit,http,,probe,/faq,probe,,,,GET,0,transport_error,10504,,,0,,,,,,,TypeError: fetch failed
2026-07-30T20:05:58.723Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,441,,,33105,,,,,,,
2026-07-30T20:05:58.722Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,450,,,33105,,,,,,,
2026-07-30T20:05:58.723Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,482,,,33105,,,,,,,
2026-07-30T20:05:58.724Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,1255,,,33105,,,,,,,
2026-07-30T20:05:58.731Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,1282,,,33105,,,,,,,
2026-07-30T20:05:58.727Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,1295,,,33105,,,,,,,
2026-07-30T20:05:58.729Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,1337,,,33105,,,,,,,
2026-07-30T20:05:58.730Z,ratelimit,http,,probe,/faq,probe,,,,GET,0,transport_error,10494,,,0,,,,,,,TypeError: fetch failed
2026-07-30T20:06:44.225Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,1546,,,33105,,,,,,,
2026-07-30T20:06:46.272Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,497,,,33105,,,,,,,
2026-07-30T20:06:47.270Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,469,,,33105,,,,,,,
2026-07-30T20:06:48.241Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,470,,,33105,,,,,,,
2026-07-30T20:06:49.211Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,303,,,33105,,,,,,,
2026-07-30T20:06:50.014Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,469,,,33105,,,,,,,
2026-07-30T20:06:50.984Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,472,,,33105,,,,,,,
2026-07-30T20:07:01.959Z,ratelimit,http,,probe,/faq,probe,,,,HEAD,200,ok,286,,,0,,,,,,,
2026-07-30T20:07:04.248Z,ratelimit,http,,probe,/faq,probe,,,,OPTIONS,200,ok,1309,,,0,,,,,,,
2026-07-30T20:07:07.559Z,ratelimit,http,,probe,/__baryga_probe_404__,probe,,,,GET,404,not_found,280,,,1517,,,,,,,
2026-07-30T20:07:09.842Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,452,,,27292,,,,,,,
2026-07-30T20:07:25.296Z,ratelimit,http,,probe,/cards,probe,,,,GET,200,login_wall,549,,,96638,,,,,,,
2026-07-30T20:07:28.847Z,ratelimit,http,,probe,/cards,probe,,,,GET,200,login_wall,549,,,96638,,,,,,,
2026-07-30T20:07:32.398Z,ratelimit,http,,probe,/cards,probe,,,,GET,200,login_wall,596,,,96612,,,,,,,
2026-07-30T20:07:35.996Z,ratelimit,http,,probe,/cards,probe,,,,GET,200,login_wall,566,,,96612,,,,,,,
2026-07-30T20:07:39.564Z,ratelimit,http,,probe,/cards,probe,,,,GET,200,login_wall,538,,,96612,,,,,,,
2026-07-30T20:07:43.106Z,ratelimit,http,,probe,/cards,probe,,,,GET,200,login_wall,570,,,96612,,,,,,,
2026-07-30T20:41:18.813Z,br_click_user,browser,click,click__trades_offers,/trades/offers,клики,True,True,True,,200,login_wall,1385,383,453,33136,9,0,0,,,вкладка исходящих,
2026-07-30T20:41:25.008Z,br_click_user,browser,click,click__trades_history,/trades/history,клики,True,True,True,,200,login_wall,1277,577,633,51986,4,0,0,,,вкладка истории,
2026-07-30T20:41:29.942Z,br_click_user,browser,click,click__trades,/trades,клики,True,True,True,,200,login_wall,1382,380,440,36168,3,0,0,,,возврат на входящие,
2026-07-30T20:41:36.115Z,br_click_user,browser,click,click__feed,/feed,клики,True,True,True,,200,login_wall,1288,555,615,32387,3,0,0,,,шапка (подменю) → лента,
2026-07-30T20:41:45.248Z,br_click_user,browser,click,click__market,/market,клики,True,True,True,,200,login_wall,1516,563,632,64812,3,0,0,,,шапка (подменю) → площадка,
2026-07-30T20:41:55.183Z,br_click_user,browser,click,click__clubs,/clubs,клики,True,True,True,,200,ok,1581,616,712,76375,3,0,0,,,шапка (подменю) → клубы,
2026-07-30T20:42:04.249Z,br_click_user,browser,click,click__battle,/battle,клики,True,True,True,,200,login_wall,1205,578,651,65537,3,0,0,,,шапка (подменю) → бои,
2026-07-30T20:42:15.582Z,br_click_user,browser,click,click__quiz,/quiz,клики,True,True,True,,200,ok,3257,2265,2356,183252,3,0,0,,,шапка (подменю) → квиз,
2026-07-30T20:42:25.715Z,br_click_user,browser,click,click__updates,/updates,клики,True,True,True,,200,login_wall,1448,541,605,62531,3,0,0,,,шапка (подменю) → новости,
2026-07-30T20:42:34.381Z,br_click_user,browser,click,click__faq,/faq,клики,True,True,True,,200,login_wall,1459,557,619,33614,3,0,0,,,шапка (подменю) → помощь,
2026-07-30T20:42:44.336Z,br_click_user,browser,click,click__,/,клики,True,True,True,,200,ok,1547,636,770,222858,3,0,0,,,шапка → главная,
2026-07-30T20:43:09.717Z,br_click_fast,browser,click,click__trades_offers,/trades/offers,клики,True,True,True,,200,login_wall,435,323,377,33136,14,0,0,,,вкладка исходящих,
2026-07-30T20:43:10.902Z,br_click_fast,browser,click,click__trades_history,/trades/history,клики,True,True,True,,200,login_wall,440,362,401,51986,9,0,0,,,вкладка истории,
2026-07-30T20:43:12.094Z,br_click_fast,browser,click,click__trades,/trades,клики,True,True,True,,200,login_wall,586,481,540,36168,25,0,0,,,возврат на входящие,
2026-07-30T20:43:13.896Z,br_click_fast,browser,click,click__feed,/feed,клики,True,True,True,,200,login_wall,417,326,384,32387,5,0,0,,,шапка (подменю) → лента,
2026-07-30T20:43:16.480Z,br_click_fast,browser,click,click__market,/market,клики,True,True,True,,200,login_wall,591,494,560,64815,4,0,0,,,шапка (подменю) → площадка,
2026-07-30T20:43:19.630Z,br_click_fast,browser,click,click__clubs,/clubs,клики,True,True,True,,200,ok,507,376,478,76375,4,0,0,,,шапка (подменю) → клубы,
2026-07-30T20:43:22.763Z,br_click_fast,browser,click,click__battle,/battle,клики,True,True,True,,200,login_wall,458,345,427,65201,4,0,0,,,шапка (подменю) → бои,
2026-07-30T20:43:25.881Z,br_click_fast,browser,click,click__quiz,/quiz,клики,True,True,True,,200,ok,2251,2138,2226,188710,3,0,0,,,шапка (подменю) → квиз,
2026-07-30T20:43:30.797Z,br_click_fast,browser,click,click__updates,/updates,клики,True,True,True,,200,login_wall,430,336,400,62679,3,0,0,,,шапка (подменю) → новости,
2026-07-30T20:43:33.880Z,br_click_fast,browser,click,click__faq,/faq,клики,True,True,True,,200,login_wall,581,488,550,33614,3,0,0,,,шапка (подменю) → помощь,
2026-07-30T20:43:36.725Z,br_click_fast,browser,click,click__,/,клики,True,True,True,,200,ok,725,543,679,222859,3,0,0,,,шапка → главная,
